task,dataset,objective,noise_std_fraction,seed,final_loss,eval_trustworthiness,eval_neighborhood_recall,eval_silhouette,eval_knn_accuracy
tsne,digits,fisher_rao,0.0,404,0.9672257304191589,0.9474254742547426,0.5720000000000001,0.18902736902236938,0.9166666666666666
tsne,digits,kl,0.0,505,0.5068971514701843,0.9231056910569105,0.5805,0.2177857905626297,0.85
tsne,digits,fisher_rao,0.0,505,1.0886150598526,0.9073116531165312,0.5585,0.11755705624818802,0.8
tsne,digits,kl,0.25,101,0.5419892072677612,0.9289539295392955,0.5695,0.18021179735660553,0.85
tsne,digits,fisher_rao,0.25,101,1.0128637552261353,0.9322655826558266,0.5655,0.17099864780902863,0.8333333333333334
tsne,digits,kl,0.25,202,0.47255611419677734,0.93610027100271,0.5790000000000001,0.25622501969337463,0.8833333333333333
tsne,digits,fisher_rao,0.25,202,0.9985381960868835,0.9155230352303523,0.5615000000000001,0.20456409454345703,0.8833333333333333
tsne,digits,kl,0.25,303,0.5190699100494385,0.939490514905149,0.5794999999999999,0.26305899024009705,0.9
tsne,digits,fisher_rao,0.25,303,1.0982352495193481,0.9075311653116531,0.5409999999999999,0.15188896656036377,0.85
tsne,digits,kl,0.25,404,0.5288739204406738,0.928590785907859,0.5579999999999999,0.22492797672748566,0.8166666666666667
tsne,digits,fisher_rao,0.25,404,1.0430309772491455,0.9254986449864498,0.5535,0.14653590321540833,0.8
tsne,digits,kl,0.25,505,0.5749096870422363,0.9164010840108401,0.5495,0.21114160120487213,0.7833333333333333
tsne,digits,fisher_rao,0.25,505,1.0830591917037964,0.9048861788617886,0.5555,0.13967332243919373,0.7666666666666667
tsne,digits,kl,0.5,101,0.6284114718437195,0.9181111111111111,0.5045,0.19514068961143494,0.8166666666666667
tsne,digits,fisher_rao,0.5,101,1.2388927936553955,0.9167506775067751,0.515,0.07536185532808304,0.75
tsne,digits,kl,0.5,202,0.6174219846725464,0.9209756097560976,0.515,0.2404075264930725,0.7666666666666667
tsne,digits,fisher_rao,0.5,202,1.2400590181350708,0.9081246612466125,0.5,0.16467715799808502,0.75
tsne,digits,kl,0.5,303,0.6218647956848145,0.9255013550135501,0.5285,0.22078700363636017,0.8666666666666667
tsne,digits,fisher_rao,0.5,303,1.2241305112838745,0.9100596205962059,0.5135,0.14743830263614655,0.8833333333333333
tsne,digits,kl,0.5,404,0.5867294669151306,0.9256747967479675,0.5305000000000001,0.19661468267440796,0.9
tsne,digits,fisher_rao,0.5,404,1.1863224506378174,0.924880758807588,0.5305,0.10013937950134277,0.8666666666666667
tsne,digits,kl,0.5,505,0.6658104658126831,0.9178428184281843,0.513,0.13014420866966248,0.8166666666666667
tsne,digits,fisher_rao,0.5,505,1.3011616468429565,0.9017642276422764,0.4925,0.10598030686378479,0.7333333333333333
tsne,digits,kl,0.75,101,0.7803330421447754,0.8876720867208672,0.43449999999999994,0.09630094468593597,0.7666666666666667
tsne,digits,fisher_rao,0.75,101,1.584710717201233,0.8793794037940379,0.4155,-0.002516599837690592,0.6833333333333333
tsne,digits,kl,0.75,202,0.7671903371810913,0.8996883468834689,0.4475,0.16742324829101562,0.7833333333333333
tsne,digits,fisher_rao,0.75,202,1.5452221632003784,0.8970514905149052,0.4645,0.08089921623468399,0.7833333333333333
tsne,digits,kl,0.75,303,0.7844101786613464,0.8904905149051491,0.4425,0.1415422558784485,0.8
tsne,digits,fisher_rao,0.75,303,1.4855189323425293,0.8797669376693766,0.447,0.10882475227117538,0.7666666666666667
tsne,digits,kl,0.75,404,0.7423070669174194,0.9105989159891599,0.4805,0.16007418930530548,0.7833333333333333
tsne,digits,fisher_rao,0.75,404,1.4416253566741943,0.9110054200542006,0.48900000000000005,0.12647415697574615,0.8333333333333334
tsne,digits,kl,0.75,505,0.8480278253555298,0.8929972899728997,0.4165,0.004104262683540583,0.7666666666666667
tsne,digits,fisher_rao,0.75,505,1.6297112703323364,0.8734092140921409,0.431,0.034260548651218414,0.7166666666666667
tsne,digits,kl,1.0,101,0.9987258315086365,0.8325826558265583,0.3505,-0.017037274315953255,0.7166666666666667
tsne,digits,fisher_rao,1.0,101,1.932472825050354,0.8266151761517615,0.324,-0.037421490997076035,0.65
tsne,digits,kl,1.0,202,0.9671103358268738,0.8500189701897019,0.3235,0.037640802562236786,0.6
tsne,digits,fisher_rao,1.0,202,1.9364540576934814,0.8541544715447155,0.3475,-0.024253128096461296,0.6833333333333333
tsne,digits,kl,1.0,303,1.0060793161392212,0.8360677506775067,0.33299999999999996,-0.031152594834566116,0.7
