experiment,dataset,corruption_type,stress_level,objective,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_n,eval_nll_mean,eval_nll_std,eval_nll_n,eval_ece_mean,eval_ece_std,eval_ece_n,eval_brier_mean,eval_brier_std,eval_brier_n,eval_mean_true_probability_mean,eval_mean_true_probability_std,eval_mean_true_probability_n,eval_train_corrupted_fraction_mean,eval_train_corrupted_fraction_std,eval_train_corrupted_fraction_n,eval_teacher_accuracy_mean,eval_teacher_accuracy_std,eval_teacher_accuracy_n,eval_teacher_error_imitation_mean,eval_teacher_error_imitation_std,eval_teacher_error_imitation_n,eval_accuracy_on_teacher_wrong_mean,eval_accuracy_on_teacher_wrong_std,eval_accuracy_on_teacher_wrong_n,eval_teacher_student_js_mean,eval_teacher_student_js_std,eval_teacher_student_js_n
distillation,digits,low_temperature,0.3,hellinger,0.9403703703703703,0.00939408018752928,10,0.39231308847665786,0.11898437493543454,10,0.04618167084676247,0.008059755696054535,10,0.10195062905550004,0.01712882021220861,10,0.9385004460811615,0.009248454791209731,10,1.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.6260422719032559,0.05038193813390415,10,0.23834105679786455,0.06170185972333439,10,0.017211925145238637,0.003608395129893593,10
distillation,digits,low_temperature,0.3,jensen_shannon,0.9401851851851852,0.006651216665210342,10,0.39447507411241534,0.10586620410836234,10,0.04796652416388194,0.006127664267876857,10,0.10325059741735458,0.013004583324605898,10,0.9379057228565216,0.007507820366583712,10,1.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.5779777764789207,0.09298577973811929,10,0.2736120794330177,0.06923928540096552,10,0.01974459467455745,0.0041179842238100684,10
distillation,digits,low_temperature,0.3,kl,0.9416666666666667,0.00908267837627295,10,0.3457309365272522,0.09442376772816143,10,0.04229279106413876,0.007226802562954341,10,0.09762888848781585,0.013986482523257801,10,0.9376032710075378,0.007978014515542125,10,1.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.7599341385039325,0.0959556802025824,10,0.1414121911976603,0.05761048203666376,10,0.006890680454671383,0.0035284143040228808,10
distillation,digits,low_temperature,0.3,kl_capped,0.8383333333333335,0.0559318531729448,10,2.150286054611206,0.8999234241826365,10,0.14520886261154103,0.050861695488565534,10,0.3009918615221977,0.10528812116077585,10,0.8373952686786652,0.05598987848337679,10,1.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.46494095983226413,0.05987919390622947,10,0.34015634374473047,0.08232747477251441,10,0.09794180132448674,0.038914618688187005,10
distillation,digits,low_temperature,0.3,kl_smoothed,0.942962962962963,0.009673845937856656,10,0.3545062705874443,0.11062067543179017,10,0.04226325674189463,0.005621445633587704,10,0.09790522754192352,0.013906091997680938,10,0.9375262975692749,0.007884880117955538,10,1.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.7556783066165218,0.10292857962036807,10,0.15458133199838006,0.07136801059698834,10,0.007345267129130662,0.0036634631011978848,10
distillation,digits,random_wrong,0.1,fisher_rao,0.9316666666666669,0.0135085086115303,10,0.4491176173090935,0.12775002139499617,10,0.052753083567928384,0.011367247376261167,10,0.11551783382892608,0.02346490201823408,10,0.9294280529022216,0.013168339619611962,10,0.09984089101034209,0.009599795470643305,10,0.9403703703703703,0.009791298794517697,10,0.6020712087788748,0.09162589155922277,10,0.21221400913763616,0.059487042389019994,10,0.022343173623085022,0.006570188003221117,10
distillation,digits,random_wrong,0.1,hellinger,0.9361111111111112,0.013014301631054338,10,0.4329356178641319,0.12759055028296887,10,0.04961154255050202,0.010868155117465543,10,0.11026311591267586,0.02299612014926185,10,0.9326147019863129,0.012497349734353567,10,0.09984089101034209,0.009599795470643305,10,0.9403703703703703,0.009791298794517697,10,0.6104621322355877,0.06382905777043839,10,0.22974432222286914,0.05623339884059518,10,0.020596731267869473,0.006243761345346998,10
distillation,digits,random_wrong,0.1,jensen_shannon,0.9364814814814814,0.011282964540754468,10,0.44120862483978274,0.13148822301259724,10,0.049991391726114144,0.00920538145328667,10,0.11015063971281051,0.019974785697886518,10,0.9337391912937164,0.0110610521759144,10,0.09984089101034209,0.009599795470643305,10,0.9403703703703703,0.009791298794517697,10,0.5819665622068367,0.05620268987120125,10,0.2679641721775589,0.05062356432870626,10,0.022378581762313842,0.0049216985305248215,10
distillation,digits,random_wrong,0.1,kl,0.8657407407407407,0.016290917556045253,10,0.5576146066188812,0.07485195710355183,10,0.03685377590358256,0.010061136954155227,10,0.20564410835504532,0.021660390017804954,10,0.797078663110733,0.019371172750317512,10,0.09984089101034209,0.009599795470643305,10,0.9403703703703703,0.009791298794517697,10,0.39792966371770716,0.06026055005637126,10,0.29161193314797434,0.09773638776621674,10,0.08866648450493812,0.008164540796522433,10
distillation,digits,random_wrong,0.1,kl_capped,0.9077777777777778,0.01326227061925509,10,0.6795864701271057,0.17399617320986052,10,0.07275548251138793,0.01268525514646134,10,0.15946367457509042,0.024494323180614386,10,0.9056228697299957,0.013007770702186974,10,0.09984089101034209,0.009599795470643305,10,0.9403703703703703,0.009791298794517697,10,0.5093664571353358,0.070644905186228,10,0.2788813219605554,0.09129236966371743,10,0.04269563965499401,0.007791849995111241,10
distillation,digits,random_wrong,0.1,kl_smoothed,0.8981481481481481,0.019422386077225018,10,0.5304112166166306,0.12237887551286011,10,0.06325251955125066,0.009311180845010762,10,0.16638563871383666,0.026172889535201582,10,0.8866162002086639,0.020155979124308016,10,0.09984089101034209,0.009599795470643305,10,0.9403703703703703,0.009791298794517697,10,0.48470314286675836,0.09841921603634302,10,0.2598093125753309,0.08833874155124989,10,0.04857574813067913,0.01293675242472499,10
