experiment,dataset,corruption_type,stress_level,seed,objective,eval_accuracy,eval_nll,eval_ece,eval_brier,eval_mean_true_probability,eval_train_corrupted_fraction,eval_teacher_accuracy,eval_teacher_error_imitation,eval_accuracy_on_teacher_wrong,eval_teacher_student_js
distillation,digits,class_confusion,0.1,101,fisher_rao,0.9537037037037037,0.22319649159908295,0.03220839599768324,0.0754469558596611,0.9508926868438721,0.09785202863961814,0.9574074074074074,0.4782608695652174,0.391304347826087,0.018999576568603516
distillation,digits,class_confusion,0.3,101,kl,0.7055555555555556,0.8515477776527405,0.03227055740577203,0.4126880168914795,0.600821852684021,0.294351630867144,0.9574074074074074,0.43478260869565216,0.21739130434782608,0.17954576015472412
distillation,digits,class_confusion,0.3,101,kl_smoothed,0.6962962962962963,0.8701494336128235,0.03944170011414421,0.41801023483276367,0.6008204817771912,0.294351630867144,0.9574074074074074,0.43478260869565216,0.21739130434782608,0.18031224608421326
distillation,digits,class_confusion,0.3,101,kl_capped,0.31851851851851853,1.985825777053833,0.08310304435866851,0.8253856897354126,0.17496854066848755,0.294351630867144,0.9574074074074074,0.2608695652173913,0.21739130434782608,0.4486389458179474
distillation,digits,class_confusion,0.3,101,jensen_shannon,0.8685185185185185,0.7379125952720642,0.10123581913886244,0.24114210903644562,0.8460458517074585,0.294351630867144,0.9574074074074074,0.4782608695652174,0.21739130434782608,0.08075524866580963
distillation,digits,class_confusion,0.3,101,hellinger,0.7944444444444444,0.9144708514213562,0.13939306879485097,0.34268298745155334,0.7758423089981079,0.294351630867144,0.9574074074074074,0.391304347826087,0.21739130434782608,0.11743716150522232
distillation,digits,class_confusion,0.3,101,fisher_rao,0.7722222222222223,0.7480741143226624,0.11614133494871635,0.3312842547893524,0.7543214559555054,0.294351630867144,0.9574074074074074,0.391304347826087,0.21739130434782608,0.12051418423652649
distillation,digits,clean,0.0,202,kl,0.9388888888888889,0.37491559982299805,0.04854295088185209,0.10810927301645279,0.9334579706192017,0.0,0.9407407407407408,0.875,0.0625,0.006809486076235771
distillation,digits,clean,0.0,202,kl_smoothed,0.9388888888888889,0.34634438157081604,0.04732809044696672,0.10430262237787247,0.9352705478668213,0.0,0.9407407407407408,0.875,0.0625,0.005497597623616457
distillation,digits,clean,0.0,202,kl_capped,0.9148148148148149,0.5816562175750732,0.0740544506797084,0.15092045068740845,0.9152107238769531,0.0,0.9407407407407408,0.59375,0.21875,0.03461826220154762
