task,dataset,objective,noise_std_fraction,seed,step,loss
tsne,digits,fisher_rao,0.0,101,200,1.0362188816070557
tsne,digits,fisher_rao,0.0,101,250,0.9801023602485657
tsne,digits,fisher_rao,0.0,101,299,0.9422019720077515
tsne,digits,kl,0.0,202,0,1.7672265768051147
tsne,digits,kl,0.0,202,50,0.8566350936889648
tsne,digits,kl,0.0,202,100,0.6366071701049805
tsne,digits,kl,0.0,202,150,0.5603157877922058
tsne,digits,kl,0.0,202,200,0.5225685238838196
tsne,digits,kl,0.0,202,250,0.5001202821731567
tsne,digits,kl,0.0,202,299,0.4856516122817993
tsne,digits,fisher_rao,0.0,202,0,3.2516162395477295
tsne,digits,fisher_rao,0.0,202,50,1.80499267578125
tsne,digits,fisher_rao,0.0,202,100,1.3394732475280762
tsne,digits,fisher_rao,0.0,202,150,1.1615842580795288
tsne,digits,fisher_rao,0.0,202,200,1.0643997192382812
tsne,digits,fisher_rao,0.0,202,250,1.0038386583328247
tsne,digits,fisher_rao,0.0,202,299,0.9655045866966248
tsne,digits,kl,0.0,303,0,1.7672265768051147
tsne,digits,kl,0.0,303,50,0.8809136152267456
tsne,digits,kl,0.0,303,100,0.6338067054748535
tsne,digits,kl,0.0,303,150,0.5576578974723816
tsne,digits,kl,0.0,303,200,0.5183126926422119
tsne,digits,kl,0.0,303,250,0.4946170449256897
tsne,digits,kl,0.0,303,299,0.4790770411491394
tsne,digits,fisher_rao,0.0,303,0,3.2516162395477295
tsne,digits,fisher_rao,0.0,303,50,1.8717052936553955
tsne,digits,fisher_rao,0.0,303,100,1.378340482711792
tsne,digits,fisher_rao,0.0,303,150,1.2002609968185425
tsne,digits,fisher_rao,0.0,303,200,1.1110726594924927
tsne,digits,fisher_rao,0.0,303,250,1.0569367408752441
tsne,digits,fisher_rao,0.0,303,299,1.021471381187439
tsne,digits,kl,0.0,404,0,1.7672268152236938
tsne,digits,kl,0.0,404,50,0.8738030195236206
tsne,digits,kl,0.0,404,100,0.6667131185531616
tsne,digits,kl,0.0,404,150,0.5883197784423828
tsne,digits,kl,0.0,404,200,0.5488250255584717
tsne,digits,kl,0.0,404,250,0.5274145007133484
tsne,digits,kl,0.0,404,299,0.5127000212669373
tsne,digits,fisher_rao,0.0,404,0,3.2516162395477295
tsne,digits,fisher_rao,0.0,404,50,1.8208216428756714
tsne,digits,fisher_rao,0.0,404,100,1.3429105281829834
tsne,digits,fisher_rao,0.0,404,150,1.1506472826004028
tsne,digits,fisher_rao,0.0,404,200,1.0594456195831299
tsne,digits,fisher_rao,0.0,404,250,1.004122257232666
tsne,digits,fisher_rao,0.0,404,299,0.9672257304191589
tsne,digits,kl,0.0,505,0,1.7672266960144043
tsne,digits,kl,0.0,505,50,0.905260443687439
tsne,digits,kl,0.0,505,100,0.6617802381515503
tsne,digits,kl,0.0,505,150,0.5864064693450928
tsne,digits,kl,0.0,505,200,0.5475332736968994
tsne,digits,kl,0.0,505,250,0.5234565138816833
tsne,digits,kl,0.0,505,299,0.5068971514701843
tsne,digits,fisher_rao,0.0,505,0,3.2516162395477295
tsne,digits,fisher_rao,0.0,505,50,1.90438711643219
tsne,digits,fisher_rao,0.0,505,100,1.4409140348434448
tsne,digits,fisher_rao,0.0,505,150,1.273176670074463
tsne,digits,fisher_rao,0.0,505,200,1.1827303171157837
tsne,digits,fisher_rao,0.0,505,250,1.1261957883834839
tsne,digits,fisher_rao,0.0,505,299,1.0886150598526
tsne,digits,kl,0.25,101,0,1.7644420862197876
tsne,digits,kl,0.25,101,50,0.8958539962768555
tsne,digits,kl,0.25,101,100,0.6817944645881653
tsne,digits,kl,0.25,101,150,0.6115247011184692
tsne,digits,kl,0.25,101,200,0.575962483882904
tsne,digits,kl,0.25,101,250,0.5551748871803284
tsne,digits,kl,0.25,101,299,0.5419892072677612
tsne,digits,fisher_rao,0.25,101,0,3.2723701000213623
tsne,digits,fisher_rao,0.25,101,50,1.8231898546218872
tsne,digits,fisher_rao,0.25,101,100,1.375244379043579
tsne,digits,fisher_rao,0.25,101,150,1.1955748796463013
tsne,digits,fisher_rao,0.25,101,200,1.106099247932434
tsne,digits,fisher_rao,0.25,101,250,1.0499889850616455
tsne,digits,fisher_rao,0.25,101,299,1.0128637552261353
tsne,digits,kl,0.25,202,0,1.7668505907058716
tsne,digits,kl,0.25,202,50,0.8421223163604736
tsne,digits,kl,0.25,202,100,0.627339780330658
tsne,digits,kl,0.25,202,150,0.5503544211387634
tsne,digits,kl,0.25,202,200,0.5103027820587158
tsne,digits,kl,0.25,202,250,0.48728978633880615
tsne,digits,kl,0.25,202,299,0.47255611419677734
tsne,digits,fisher_rao,0.25,202,0,3.2588558197021484
tsne,digits,fisher_rao,0.25,202,50,1.7995264530181885
tsne,digits,fisher_rao,0.25,202,100,1.3655281066894531
tsne,digits,fisher_rao,0.25,202,150,1.1896686553955078
tsne,digits,fisher_rao,0.25,202,200,1.093980073928833
tsne,digits,fisher_rao,0.25,202,250,1.0367155075073242
tsne,digits,fisher_rao,0.25,202,299,0.9985381960868835
tsne,digits,kl,0.25,303,0,1.7594449520111084
tsne,digits,kl,0.25,303,50,0.9027693271636963
tsne,digits,kl,0.25,303,100,0.668076753616333
tsne,digits,kl,0.25,303,150,0.5953781604766846
tsne,digits,kl,0.25,303,200,0.5589672327041626
tsne,digits,kl,0.25,303,250,0.534480094909668
tsne,digits,kl,0.25,303,299,0.5190699100494385
tsne,digits,fisher_rao,0.25,303,0,3.2578346729278564
tsne,digits,fisher_rao,0.25,303,50,1.9009573459625244
tsne,digits,fisher_rao,0.25,303,100,1.4446238279342651
tsne,digits,fisher_rao,0.25,303,150,1.277081847190857
tsne,digits,fisher_rao,0.25,303,200,1.1896545886993408
tsne,digits,fisher_rao,0.25,303,250,1.1350339651107788
tsne,digits,fisher_rao,0.25,303,299,1.0982352495193481
tsne,digits,kl,0.25,404,0,1.764150857925415
tsne,digits,kl,0.25,404,50,0.8903357982635498
tsne,digits,kl,0.25,404,100,0.6785786747932434
tsne,digits,kl,0.25,404,150,0.606332540512085
tsne,digits,kl,0.25,404,200,0.5698539614677429
tsne,digits,kl,0.25,404,250,0.5460877418518066
tsne,digits,kl,0.25,404,299,0.5288739204406738
tsne,digits,fisher_rao,0.25,404,0,3.2528915405273438
