task,dataset,regularizer,beta,seed,eval_loss,eval_reconstruction,eval_regularization,eval_bce_per_pixel,eval_mse,eval_mean_norm,eval_variance_mean,eval_posterior_entropy_proxy,eval_active_units,eval_latent_knn_accuracy,eval_latent_linear_accuracy,eval_latent_silhouette,eval_aggregated_posterior_mmd,eval_sample_pixel_variance,eval_sample_test_mmd,eval_sample_test_nn_distance,eval_reconstruction_train_nn_distance,eval_noise_0.25_dropout_0_bce_per_pixel,eval_noise_0.25_dropout_0_mse,eval_noise_0.5_dropout_0_bce_per_pixel,eval_noise_0.5_dropout_0_mse,eval_noise_0_dropout_0.25_bce_per_pixel,eval_noise_0_dropout_0.25_mse,eval_noise_0_dropout_0.5_bce_per_pixel,eval_noise_0_dropout_0.5_mse,eval_stable,eval_completed_epochs,eval_max_grad_norm
vae,mnist,kl,0.1,404,239.03965759277344,234.81934356689453,42.20315647125244,0.29951445758342743,0.07339015603065491,8.322398662567139,3.3552122712135315,1.1318376660346985,8.0,0.45703125,0.556640625,-0.19609926640987396,1.1355212926864624,0.0031473436392843723,0.48123061656951904,8.189094066619873,5.935751546174288,0.3053959012031555,0.0739708598703146,0.31608692556619644,0.07514871098101139,0.2959725484251976,0.0732116550207138,0.3077877312898636,0.07526477240025997,1.0,2,148.3159637451172
vae,mnist,kl,0.3,404,242.95769119262695,232.69318008422852,34.21503448486328,0.2968025207519531,0.07300220802426338,7.528970003128052,2.984486222267151,1.040198266506195,8.0,0.41796875,0.51171875,-0.19177500903606415,1.097488284111023,0.003103444818407297,0.48460936546325684,8.17148437909782,5.8994671711698174,0.29911697655916214,0.07311126217246056,0.306000679731369,0.0738659854978323,0.29690154641866684,0.07325195707380772,0.31165632605552673,0.0759078711271286,1.0,2,135.3287353515625
vae,mnist,kl,1.0,404,252.60207748413086,231.56765365600586,21.034424781799316,0.29536689817905426,0.0727187804877758,5.858163833618164,2.5639873147010803,0.8978731781244278,8.0,0.34765625,0.421875,-0.19613274931907654,0.9830196499824524,0.003125912044197321,0.4780481457710266,8.064068596810102,5.914162466302514,0.29364413768053055,0.07255479134619236,0.2960629016160965,0.07277416624128819,0.3024086505174637,0.07401179894804955,0.32071515172719955,0.07752348110079765,1.0,2,161.9691162109375
vae,mnist,kl,3.0,404,260.1525573730469,241.22553634643555,6.309008002281189,0.30768562108278275,0.0742757897824049,3.0997334718704224,1.9401974081993103,0.6373350769281387,7.0,0.408203125,0.421875,-0.16730007529258728,0.6781314611434937,0.003195213619619608,0.4635276794433594,7.820460228249431,6.045875909738243,0.30126842111349106,0.07333696633577347,0.2973131388425827,0.07255150564014912,0.3231058940291405,0.0776855330914259,0.341658778488636,0.08194751851260662,1.0,2,138.24014282226562
vae,mnist,fisher_rao,0.03,404,237.7724494934082,236.61211013793945,38.678043365478516,0.3018011599779129,0.07368508912622929,8.905208826065063,3.569627106189728,1.1947399377822876,8.0,0.404296875,0.4921875,-0.19766953587532043,1.1628212928771973,0.0031225024722516537,0.4850853681564331,8.206924561411142,5.909151782281697,0.3094734773039818,0.07439921237528324,0.3213457837700844,0.07549423538148403,0.2957240641117096,0.07319559901952744,0.30489084124565125,0.07487555220723152,1.0,2,137.40695190429688
vae,mnist,fisher_rao,0.1,404,242.93892288208008,239.3044204711914,36.3450403213501,0.30523522198200226,0.0740350466221571,8.59829831123352,4.11160683631897,1.3252921104431152,8.0,0.41015625,0.4765625,-0.20833660662174225,1.1498069763183594,0.0030998478177934885,0.4834914207458496,8.18105729483068,5.853505810722709,0.31291090697050095,0.07462999783456326,0.3262156918644905,0.0759075153619051,0.29785359650850296,0.0734463594853878,0.30608420819044113,0.07494960725307465,1.0,2,198.98300170898438
vae,mnist,fisher_rao,0.3,404,244.82013320922852,235.6727180480957,30.49138641357422,0.300602950155735,0.07331583462655544,7.689783692359924,3.940805971622467,1.2965009212493896,8.0,0.404296875,0.46484375,-0.19978652894496918,1.1088857650756836,0.0030917352996766567,0.48004114627838135,8.12719869054854,5.795606368221343,0.3062712773680687,0.0739574022591114,0.31591110676527023,0.0748866405338049,0.29797647148370743,0.07332105748355389,0.30945251882076263,0.07539363391697407,1.0,2,178.57472229003906
vae,mnist,fisher_rao,1.0,404,253.50354385375977,233.09149551391602,20.41205072402954,0.29731058329343796,0.07286824472248554,5.818563461303711,3.4548071026802063,1.179565668106079,7.0,0.40234375,0.48046875,-0.19450947642326355,0.9796516299247742,0.0030777272768318653,0.4733865261077881,8.034776967018843,5.822130191139877,0.29785631597042084,0.07295333966612816,0.30035601556301117,0.07302475720643997,0.30234773457050323,0.07398070767521858,0.3187001943588257,0.0770909134298563,1.0,2,201.69219970703125
vae,mnist,kl,0.1,505,244.7283821105957,240.84637832641602,38.82002544403076,0.307202011346817,0.0744941383600235,7.9200263023376465,3.3420310616493225,1.0858009457588196,8.0,0.416015625,0.478515625,-0.14530427753925323,1.1068140268325806,0.0030449521727859974,0.48655325174331665,8.042789250612259,5.674194507300854,0.31386491656303406,0.07518658228218555,0.3240147605538368,0.07615328021347523,0.29865047335624695,0.07359287887811661,0.30561909824609756,0.07488784566521645,1.0,2,147.0719757080078
vae,mnist,kl,0.3,505,253.77092361450195,242.46565628051758,37.68422985076904,0.30926740914583206,0.07447075843811035,7.6241737604141235,3.763858199119568,1.1791363954544067,8.0,0.46875,0.51953125,-0.13259175419807434,1.0884389877319336,0.0030663092620670795,0.48659849166870117,8.015675771981478,5.642961859703064,0.31722309440374374,0.07527909986674786,0.32902542501688004,0.0763364415615797,0.30001305043697357,0.07359478808939457,0.3066703677177429,0.07500053942203522,1.0,2,263.6109619140625
