dataset,noise_regime,objective,seed,eval_accuracy,eval_ece,eval_brier,eval_nll
digits,sym_80,kl,6,0.2222222222222222,0.3947706091735099,1.0769556760787964,3.262856721878052
digits,sym_80,gce,6,0.2444444444444444,0.4438879422429535,1.1171276569366455,3.751655340194702
digits,sym_80,mae,6,0.3027777777777777,0.4374868497252464,1.0804005861282349,4.019073009490967
digits,sym_80,sce,6,0.2444444444444444,0.4734608882831203,1.1360214948654177,4.041910171508789
digits,sym_80,hellinger,6,0.2055555555555555,0.4522481009364129,1.1377125978469849,3.66023588180542
digits,sym_80,fisher_rao,6,0.2194444444444444,0.4393241320219305,1.1318833827972412,3.7109060287475586
digits,sym_80,kl,7,0.2055555555555555,0.4208703733566734,1.109286189079285,3.473210334777832
digits,sym_80,gce,7,0.2361111111111111,0.4445958485205968,1.1339672803878784,4.198634624481201
digits,sym_80,mae,7,0.2722222222222222,0.4714515912863943,1.1158232688903809,4.039981365203857
digits,sym_80,sce,7,0.2388888888888889,0.4817209641138713,1.1720243692398071,4.234679222106934
digits,sym_80,hellinger,7,0.2194444444444444,0.441445239343577,1.1278269290924072,3.81805968284607
digits,sym_80,fisher_rao,7,0.2444444444444444,0.4357496360109912,1.1353318691253662,3.934218645095825
digits,sym_80,kl,8,0.225,0.4215428594085906,1.1011606454849243,3.3389413356781006
digits,sym_80,gce,8,0.225,0.4933785329262415,1.204889893531799,4.136143207550049
digits,sym_80,mae,8,0.2861111111111111,0.4922368915544616,1.151705622673035,4.541515350341797
digits,sym_80,sce,8,0.2055555555555555,0.5218138471245766,1.2154853343963623,4.464749336242676
digits,sym_80,hellinger,8,0.225,0.463989733159542,1.1623615026474,3.918023586273194
digits,sym_80,fisher_rao,8,0.2305555555555555,0.4800475867258178,1.1588882207870483,3.8540618419647217
digits,sym_80,kl,9,0.2416666666666666,0.397585035322441,1.074665665626526,3.274835109710694
digits,sym_80,gce,9,0.2472222222222222,0.4594528193275133,1.1264150142669678,3.783465623855591
digits,sym_80,mae,9,0.3138888888888889,0.4553036376833915,1.077467918395996,3.7625515460968018
