noise_regime,objective,seed,eval_accuracy,eval_ece,eval_brier,eval_nll
asym_40,hellinger,2,0.334,0.04512335987389088,0.7907915115356445,1.8535246849060059
asym_40,fisher_rao,2,0.577,0.051082134671509266,0.5810796022415161,1.303604006767273
clean,kl,3,0.741,0.021329656600952145,0.3639012277126312,0.7667585015296936
clean,gce,3,0.5325,0.2528164891675115,0.703905463218689,1.9385056495666504
clean,mae,3,0.256,0.7415169063210487,1.484144687652588,13.616070747375488
clean,sce,3,0.704,0.21892970591783525,0.5003801584243774,1.8390312194824219
clean,hellinger,3,0.489,0.1641998271048069,0.6885102987289429,1.6046912670135498
clean,fisher_rao,3,0.7805,0.09312431435287002,0.325046569108963,0.779399037361145
sym_20,kl,3,0.663,0.16654304902255535,0.49167394638061523,1.1028258800506592
sym_20,gce,3,0.4805,0.24719063030183316,0.7415930032730103,1.9052248001098633
sym_20,mae,3,0.2045,0.7870214025080203,1.5780243873596191,13.257737159729004
sym_20,sce,3,0.681,0.22443549270927907,0.5321466326713562,1.7901697158813477
sym_20,hellinger,3,0.428,0.11854092267155647,0.7087308168411255,1.5949409008026123
sym_20,fisher_rao,3,0.7635,0.06210253971070049,0.3358836770057678,0.7508271336555481
sym_40,kl,3,0.5695,0.24803339239209893,0.6497147679328918,1.4937293529510498
sym_40,gce,3,0.396,0.19728399156033993,0.7924531698226929,1.9201644659042358
sym_40,mae,3,0.1975,0.7928498138189317,1.59061598777771,14.055476188659668
sym_40,sce,3,0.614,0.24772493045777083,0.6017952561378479,1.7517335414886475
sym_40,hellinger,3,0.3225,0.02055535843968391,0.7914078235626221,1.8723995685577393
sym_40,fisher_rao,3,0.679,0.023521833643317235,0.4271461069583893,0.9459387063980103
sym_60,kl,3,0.4445,0.2417536837011576,0.7852982878684998,1.8663479089736938
sym_60,gce,3,0.306,0.041337670043110855,0.8204182982444763,1.9824684858322144
sym_60,mae,3,0.2435,0.7288065938651562,1.474217176437378,11.974358558654785
sym_60,sce,3,0.5125,0.26993920592963694,0.7328448295593262,1.8335338830947876
sym_60,hellinger,3,0.255,0.10172069969028236,0.8675774931907654,2.15694522857666
sym_60,fisher_rao,3,0.5475,0.163916781462729,0.6301706433296204,1.4596513509750366
asym_40,kl,3,0.5445,0.17268136321008204,0.6579199433326721,1.4240082502365112
asym_40,gce,3,0.3795,0.1732214088514447,0.7998995780944824,2.012328863143921
asym_40,mae,3,0.1945,0.7793689426928759,1.5740649700164795,13.108050346374512
asym_40,sce,3,0.514,0.3167814016193151,0.7655900716781616,2.274054765701294
asym_40,hellinger,3,0.342,0.03414405331015587,0.7828753590583801,1.8297088146209717
asym_40,fisher_rao,3,0.6085,0.06532452513277531,0.5470882058143616,1.2113851308822632
clean,kl,4,0.7415,0.024183039829134938,0.3644777834415436,0.7688887715339661
